#,Date-Time (EDT),Ch: 1 - Temperature   (°C ),Button Down,Button Up,Host Connected,End of File
438,06/09/2023 03:07:51,21.10,,,,
439,06/09/2023 03:17:51,21.06,,,,
440,06/09/2023 03:27:51,21.06,,,,
441,06/09/2023 03:37:51,21.06,,,,
442,06/09/2023 03:47:51,21.02,,,,
443,06/09/2023 03:57:51,21.02,,,,
444,06/09/2023 04:07:51,21.06,,,,
445,06/09/2023 04:17:51,20.98,,,,
446,06/09/2023 04:27:51,20.98,,,,
447,06/09/2023 04:37:51,20.93,,,,
448,06/09/2023 04:47:51,20.93,,,,
449,06/09/2023 04:57:51,20.93,,,,
450,06/09/2023 05:07:51,20.85,,,,
451,06/09/2023 05:17:51,20.85,,,,
452,06/09/2023 05:27:51,20.89,,,,
453,06/09/2023 05:37:51,20.85,,,,
454,06/09/2023 05:47:51,20.85,,,,
455,06/09/2023 05:57:51,20.76,,,,
456,06/09/2023 06:07:51,20.76,,,,
457,06/09/2023 06:17:51,20.72,,,,
458,06/09/2023 06:27:51,20.72,,,,
459,06/09/2023 06:37:51,20.68,,,,
460,06/09/2023 06:47:51,20.63,,,,
461,06/09/2023 06:57:51,20.63,,,,
462,06/09/2023 07:07:51,20.63,,,,
463,06/09/2023 07:17:51,20.63,,,,
464,06/09/2023 07:27:51,20.63,,,,
465,06/09/2023 07:37:51,20.50,,,,
466,06/09/2023 07:47:51,20.37,,,,
467,06/09/2023 07:57:51,20.37,,,,
468,06/09/2023 08:07:51,20.33,,,,
469,06/09/2023 08:17:51,20.33,,,,
470,06/09/2023 08:27:51,20.42,,,,
471,06/09/2023 08:37:51,20.37,,,,
472,06/09/2023 08:47:51,20.33,,,,
473,06/09/2023 08:57:51,20.37,,,,
474,06/09/2023 09:07:51,20.37,,,,
475,06/09/2023 09:17:51,20.46,,,,
476,06/09/2023 09:27:51,20.46,,,,
477,06/09/2023 09:37:51,20.50,,,,
478,06/09/2023 09:47:51,20.55,,,,
479,06/09/2023 09:57:51,20.55,,,,
