Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
18.150000000000002,18.124136178329628,13.567822694778442,39545.283203125,51267.196901523421,33.142971647837733,1500.1777289294946,1024.9226902906146
18.45,18.422800322284424,13.231201799412581,39286.478808895728,51380.125342409927,33.193058416920394,1499.1275872826225,1025.0306108393556
18.75,18.721482016424027,12.818081378936768,38481.32421875,50876.885891126447,32.79134117477404,1497.2756788574354,1024.802646785168
19.05,19.020238128142307,12.618200860144327,37861.983352809242,50324.021998780918,32.375169893803964,1496.1123691041034,1024.5204169755994
19.35,19.319060829616589,12.523149967193602,37514.123046875,49987.971531805706,32.125189894191621,1495.4981156598647,1024.3463393170994
19.650000000000002,19.617876611717751,12.182706356048584,37418.984375,50317.725687701291,32.326528328943922,1494.5820037605565,1024.5682597062469
19.95,19.916641157518853,12.026276826858521,37411.03515625,50519.574694467228,32.454381836049727,1494.2030547830498,1024.69809085684
20.25,20.215367835484447,11.869847297668457,37403.0859375,50723.1364908111,32.583081967602887,1493.8234272228985,1024.8284240575454
20.55,20.514051930705492,11.673414707183838,37390.720703125,50977.964557798121,32.7436136310487,1493.3417638906199,1024.9906829237041
20.85,20.812704796663375,11.612623453140259,37388.505859375,51059.583188879893,32.795051278306389,1493.1976768612997,1025.0431469473335
21.150000000000002,21.111342406371559,11.555343151092529,37390.4658203125,51142.271686204935,32.847590024614313,1493.0668467590008,1025.0958017120981
21.45,21.409965249785756,11.491644382476807,37380.294921875,51217.60824215546,32.894085959383339,1492.9062275571189,1025.1449124171254
21.75,21.708576839672919,11.441639423370361,37358.765625,51258.34926219246,32.917358483498063,1492.7651160552553,1025.1734570199235
22.05,22.007182844864996,11.419043779373169,37344.58203125,51270.67895780535,32.923445778789706,1492.6986794906409,1025.1836484956466
22.35,22.305785546326309,11.395714282989502,37333.087890625,51287.7527287239,32.932831203922014,1492.6336042001176,1025.1965323166394
22.650000000000002,22.604383447965503,11.363399982452393,37321.2265625,51317.020108831704,32.949881008768628,1492.5463572200242,1025.2169977544693
22.95,22.902977528341872,11.34453296661377,37306.0458984375,51322.775192498666,32.951675206607327,1492.4876310387438,1025.2231625426948
23.25,23.201570588237445,11.334229946136475,37294.22265625,51321.058285171668,32.94912200650937,1492.4535460091418,1025.2243955166641
23.55,23.50016263075247,11.328313827514648,37293.845703125,51328.8971794764,32.953907275845381,1492.4435864246771,1025.2305391012244
23.85,23.798752377340698,11.329483741046643,37306.640195531538,51344.853207177373,32.96531870613525,1492.4663266408509,1025.2405521529929
24.150000000000002,24.097339059574907,11.302253508129148,37288.760411323288,51358.740584759063,32.971936604539,1492.384134144673,1025.2519730225495
24.45,24.395923299280845,11.270147829262708,37257.895106837357,51361.65322819243,32.9701293359267,1492.2747058277184,1025.2577160733115
24.75,24.694505846074954,11.261624717712403,37254.7015625,51369.322048471971,32.974480071077146,1492.25507888343,1025.2639892323668
25.05,24.993087811871405,11.267445737665348,37257.248934659088,51364.589064464752,32.9716540367532,1492.2769754927135,1025.2620962104147
25.35,25.291669165165608,11.261777713381012,37257.602370689659,51373.105126256924,32.9769451283056,1492.2684613967249,1025.2685857837089
25.650000000000002,25.590249013385957,11.248139634189833,37245.901967243975,51376.294539696923,32.977492301940117,1492.2263640645745,1025.2728226297832
25.95,25.888827295695936,11.235541974281778,37238.877853954087,51384.463740578831,32.981717093317712,1492.1923144184523,1025.2797301481585
26.25,26.187403381162184,11.227766540848638,37239.533371833531,51396.396918154031,32.989197472606968,1492.179045209675,1025.2883002620597
26.55,26.485977010542896,11.219901859079554,37240.238686329372,51408.530634925017,32.996809443452008,1492.1656178380204,1025.2969884620161
26.85,26.784549107027857,11.208828950643939,37228.856385942017,51408.534140510965,32.995374814081757,1492.1300698858524,1025.2992182952658
27.150000000000002,27.083119008857771,11.201827049255371,37236.46875,51428.991000007984,33.009032269210287,1492.1269267756511,1025.3124517769888
27.595576599211029,27.526563200666608,11.200660477028427,37266.391200822094,51471.976905600859,33.0394150511423,1492.1667394426056,1025.3382999870062
